place_id,place,name,Type,Best Season,Activities,Location,description,Rating,festival,No of People Visited,image,price per night
56,Ramadurga,Rudra Resort,Camping,Summer,Shopping,"Ramadurga, Belagavi",Camping spot known for culture.,1.7,Basava Jayanthi,13139,https://a0.muscache.com/im/pictures/b82ce287-9d4e-4a34-82dc-4a806faf1911.jpg,9044
57,Kittur,Heritage Inn,Nature,Summer,Camping,"Kittur, Belagavi",Nature spot known for history.,4.3,Ugadi,2524,https://a0.muscache.com/im/pictures/b82ce287-9d4e-4a34-82dc-4a806faf1911.jpg,6833
58,Saundatti,Krishna Stay,Nature,Monsoon,Boating,"Saundatti, Belagavi",Nature spot known for adventure.,3.7,Mahashivaratri,22468,https://media1.thrillophilia.com/filestore/omuroqe39mlp3r9iyltqt4p82jr6_frndz.png?w=340&dpr=2,7544
59,Kittur,Ilkal Resort,Camping,Winter,Camping,"Kittur, Belagavi",Camping spot known for serenity.,2.8,Dasara,16704,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPo9864w6JH20BGSUDz5deyrUcITuTz2h-cw&s,8537
60,Ramadurga,Heritage Guest House,Adventure,Winter,Shopping,"Ramadurga, Belagavi",Adventure spot known for pilgrimage.,4.9,Karthika Deepotsava,18419,https://a0.muscache.com/im/pictures/b82ce287-9d4e-4a34-82dc-4a806faf1911.jpg,2621
61,Dharwad,Heritage Retreat,Camping,Summer,Camping,"Dharwad, Dharwada",Camping spot known for serenity.,4.4,Basava Jayanthi,12239,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlQDuA4uXy6e7HO0hdGknDlcgPNo5H-bl3wcbh_XJCO7-SJysLJrzkaAxllvB_0LyUCw&usqp=CAU,3238
62,Navalgund,Vaibhava Resort,Adventure,Monsoon,Temple visit,"Navalgund, Dharwada",Adventure spot known for history.,2.3,Dasara,22731,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlQDuA4uXy6e7HO0hdGknDlcgPNo5H-bl3wcbh_XJCO7-SJysLJrzkaAxllvB_0LyUCw&usqp=CAU,7579
63,Annigeri,Mallige Resort,Nature,Summer,Sightseeing,"Annigeri, Dharwada",Nature spot known for history.,4.2,Makar Sankranti,22943,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,3995
64,Annigeri,Krishna Resort,Wildlife,Winter,Trekking,"Annigeri, Dharwada",Wildlife spot known for pilgrimage.,1.8,Basava Jayanthi,16093,https://s3.ap-south-1.amazonaws.com/primary0101211/storage/picture/rooms/1%20(3).1_1561962987.jpg,7022
65,Navalgund,Rudra Resort,Camping,Winter,Boating,"Navalgund, Dharwada",Camping spot known for history.,1.7,Makar Sankranti,23371,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPo9864w6JH20BGSUDz5deyrUcITuTz2h-cw&s,6413
66,Annigeri,Vaibhava Guest House,Wildlife,Monsoon,Sightseeing,"Annigeri, Dharwada",Wildlife spot known for history.,3.2,Dasara,2031,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,4810
67,Hubballi,Nirvana Guest House,Nature,Summer,Shopping,"Hubballi, Dharwada",Nature spot known for culture.,4.6,Dasara,1681,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,9486
68,Navalgund,Krishna Homestay,Adventure,Winter,Sightseeing,"Navalgund, Dharwada",Adventure spot known for nature.,1.7,Makar Sankranti,20098,https://s3.ap-south-1.amazonaws.com/primary0101211/storage/picture/rooms/1%20(3).1_1561962987.jpg,3555
69,Navalgund,Krishna Stay,Nature,Monsoon,Shopping,"Navalgund, Dharwada",Nature spot known for beauty.,4.1,Karthika Deepotsava,14810,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,7842
70,Hubballi,Sharanas Stay,Wildlife,Monsoon,Sightseeing,"Hubballi, Dharwada",Wildlife spot known for history.,2.3,Makar Sankranti,12021,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,9370
71,Dharwad,Heritage Stay,Camping,Summer,Birdwatching,"Dharwad, Dharwada",Camping spot known for adventure.,4.7,Mahashivaratri,2964,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,6296
72,Navalgund,Waterfall Cottages,Wildlife,Monsoon,Trekking,"Navalgund, Dharwada",Wildlife spot known for history.,1.8,Dasara,21482,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlQDuA4uXy6e7HO0hdGknDlcgPNo5H-bl3wcbh_XJCO7-SJysLJrzkaAxllvB_0LyUCw&usqp=CAU,4453
73,Dharwad,Nirvana Cottages,Nature,Summer,Birdwatching,"Dharwad, Dharwada",Nature spot known for adventure.,4.3,Diwali,8195,https://www.raahghar.com/public/storage/image/stay/gallery/woodways-estate/dsfghjk.webp,6035
74,Annigeri,Sharanas Inn,Heritage,Summer,Trekking,"Annigeri, Dharwada",Heritage spot known for beauty.,1.6,Dasara,19862,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEkc8lOD4vjprli8oWUVMvI0-JaucS3vlmG6oRwNn4SmcDOS0T862FwIyXrqMNvPAE5Mc&usqp=CAU,2710
75,Dharwad,Rudra Resort,Cultural,Winter,Temple visit,"Dharwad, Dharwada",Cultural spot known for history.,1.5,Ugadi,20172,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,8510
76,Annigeri,Waterfall Stay,Heritage,Summer,Trekking,"Annigeri, Dharwada",Heritage spot known for peace.,1.8,Makar Sankranti,11550,https://www.raahghar.com/public/storage/image/stay/gallery/woodways-estate/dsfghjk.webp,8735
77,Alnavar,Kalyani Resort,Wildlife,Monsoon,Sightseeing,"Alnavar, Dharwada",Wildlife spot known for beauty.,4.2,Dasara,14921,https://s3.ap-south-1.amazonaws.com/primary0101211/storage/picture/rooms/1%20(3).1_1561962987.jpg,6547
78,Annigeri,Mallige Homestay,Nature,Summer,Birdwatching,"Annigeri, Dharwada",Nature spot known for adventure.,4.2,Dasara,15411,https://media2.thrillophilia.com/images/photos/000/045/476/original/1522492632_angana1.jpg?w=753&h=450&dpr=1.0,9368
79,Dharwad,Krishna Retreat,Cultural,Summer,Boating,"Dharwad, Dharwada",Cultural spot known for history.,3.3,Banashankari Jatre,6890,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-XlIpOoZI9LL1WpdheSyx1nThPBjDYpwa_3r4j4fxn99wStSwfglIJ6b5_ziL77eO7ds&usqp=CAU,6378
80,Alnavar,Mallige Guest House,Pilgrimage,Winter,Boating,"Alnavar, Dharwada",Pilgrimage spot known for beauty.,2.9,Karthika Deepotsava,5440,https://media2.thrillophilia.com/images/photos/000/045/476/original/1522492632_angana1.jpg?w=753&h=450&dpr=1.0,8142
81,Hubballi,Krishna Stay,Camping,Winter,Camping,"Hubballi, Dharwada",Camping spot known for beauty.,3,Dasara,7582,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlQDuA4uXy6e7HO0hdGknDlcgPNo5H-bl3wcbh_XJCO7-SJysLJrzkaAxllvB_0LyUCw&usqp=CAU,9881
82,Hubballi,Heritage Retreat,Camping,Monsoon,Sightseeing,"Hubballi, Dharwada",Camping spot known for pilgrimage.,4.6,Banashankari Jatre,2758,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlQDuA4uXy6e7HO0hdGknDlcgPNo5H-bl3wcbh_XJCO7-SJysLJrzkaAxllvB_0LyUCw&usqp=CAU,5317
83,Navalgund,Ilkal Stay,Adventure,Winter,Shopping,"Navalgund, Dharwada",Adventure spot known for serenity.,4,Makar Sankranti,17171,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEkc8lOD4vjprli8oWUVMvI0-JaucS3vlmG6oRwNn4SmcDOS0T862FwIyXrqMNvPAE5Mc&usqp=CAU,5003
84,Dharwad,Nirvana Homestay,Nature,Winter,Temple visit,"Dharwad, Dharwada",Nature spot known for adventure.,5,Diwali,4536,https://s3.ap-south-1.amazonaws.com/primary0101211/storage/picture/rooms/1%20(3).1_1561962987.jpg,4317
85,Alnavar,Heritage Guest House,Nature,Winter,Sightseeing,"Alnavar, Dharwada",Nature spot known for serenity.,4.9,Karthika Deepotsava,23796,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-XlIpOoZI9LL1WpdheSyx1nThPBjDYpwa_3r4j4fxn99wStSwfglIJ6b5_ziL77eO7ds&usqp=CAU,3199
86,Dharwad,Ilkal Resort,Camping,Winter,Temple visit,"Dharwad, Dharwada",Camping spot known for nature.,3.5,Banashankari Jatre,10874,https://a0.muscache.com/im/pictures/b82ce287-9d4e-4a34-82dc-4a806faf1911.jpg,8301
87,Dharwad,Rudra Cottages,Nature,Summer,Trekking,"Dharwad, Dharwada",Nature spot known for serenity.,4.5,Mahashivaratri,4126,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-XlIpOoZI9LL1WpdheSyx1nThPBjDYpwa_3r4j4fxn99wStSwfglIJ6b5_ziL77eO7ds&usqp=CAU,9882
88,Alnavar,Rudra Stay,Camping,Winter,Birdwatching,"Alnavar, Dharwada",Camping spot known for beauty.,3.8,Basava Jayanthi,14365,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPo9864w6JH20BGSUDz5deyrUcITuTz2h-cw&s,4187
89,Hubballi,Kalyani Inn,Camping,Summer,Shopping,"Hubballi, Dharwada",Camping spot known for serenity.,2.3,Basava Jayanthi,7622,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,8296
90,Annigeri,Nirvana Homestay,Cultural,Summer,Boating,"Annigeri, Dharwada",Cultural spot known for culture.,2.3,Ugadi,5997,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,3724
91,Lakshmeshwara,Rudra Retreat,Cultural,Summer,Trekking,"Lakshmeshwara, Gadaga",Cultural spot known for pilgrimage.,3.3,Makar Sankranti,10402,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlQDuA4uXy6e7HO0hdGknDlcgPNo5H-bl3wcbh_XJCO7-SJysLJrzkaAxllvB_0LyUCw&usqp=CAU,5771
92,Dambal,Nirvana Guest House,Wildlife,Winter,Shopping,"Dambal, Gadaga",Wildlife spot known for history.,2.2,Diwali,16899,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlQDuA4uXy6e7HO0hdGknDlcgPNo5H-bl3wcbh_XJCO7-SJysLJrzkaAxllvB_0LyUCw&usqp=CAU,9583
93,Mundargi,Vaibhava Cottages,Adventure,Summer,Camping,"Mundargi, Gadaga",Adventure spot known for nature.,2.6,Diwali,13846,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,5616
94,Dambal,Nirvana Cottages,Adventure,Winter,Trekking,"Dambal, Gadaga",Adventure spot known for history.,2.2,Karthika Deepotsava,2704,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,2739
95,Dambal,Nirvana Resort,Wildlife,Summer,Camping,"Dambal, Gadaga",Wildlife spot known for peace.,2.6,Makar Sankranti,11241,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,2929
96,Mundargi,Rudra Inn,Pilgrimage,Winter,Trekking,"Mundargi, Gadaga",Pilgrimage spot known for history.,1.6,Dasara,6323,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlQDuA4uXy6e7HO0hdGknDlcgPNo5H-bl3wcbh_XJCO7-SJysLJrzkaAxllvB_0LyUCw&usqp=CAU,6733
97,Lakshmeshwara,Sharanas Guest House,Heritage,Summer,Camping,"Lakshmeshwara, Gadaga",Heritage spot known for adventure.,1.8,Basava Jayanthi,8033,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,9882
